season,status,teams,groups,fights,errors
2025,ok,77,73,400,0
2024,ok,53,49,295,0
2023,ok,42,41,255,0
2022,ok,42,42,227,0
2021,ok,34,34,186,0
2020,ok,24,23,162,0
2019,ok,20,20,125,0
2018,ok,21,21,143,0
2017,ok,23,23,133,0
2016,ok,26,26,147,0
2015,ok,22,22,156,0
2014,ok,21,21,144,0
2013,ok,22,22,134,0
2012,ok,19,19,131,0
2011,ok,24,24,169,0
2010,ok,2,2,11,0
2009,error,0,0,0,1
2008,error,0,0,0,1
2007,error,0,0,0,1
2006,error,0,0,0,1
2005,error,0,0,0,1
2004,error,0,0,0,1
2003,error,0,0,0,1
2002,error,0,0,0,1
2001,error,0,0,0,1
2000,error,0,0,0,1
