"season","matchId","team","opponent","category","source"
"2018","337416","Gladsaxe Søborg 1","Team Storstrøm 1","walkover_or_not_attended","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2018,11355,1,8,,337416,1093,"
"2018","337417","Gladsaxe Søborg 1","Herlufsholm 1","walkover_or_not_attended","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2018,11355,1,8,,337417,1093,"
"2018","337423","Gladsaxe Søborg 1","Herlev/Hjorten 1","walkover_or_not_attended","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2018,11355,1,8,,337423,1093,"
"2018","337425","Gladsaxe Søborg 1","Skælskør 1","walkover_or_not_attended","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2018,11355,1,8,,337425,1093,"
"2019","365220","Gladsaxe Søborg 3","KSI Badmintonklub Kbh. 3","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12570,1,8,,365220,1093,"
"2019","365224","Gladsaxe Søborg 3","SAIF Kbh. 8","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12570,1,8,,365224,1093,"
"2019","365416","Gladsaxe Søborg 1","Lyngby 2","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12580,1,8,,365416,1093,"
"2019","365483","Gladsaxe Søborg 2","BC KVIK Kbh. 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12583,1,8,,365483,1093,"
"2019","365512","Gladsaxe Søborg 4","Posten Kbh. 2","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12584,1,8,,365512,1093,"
"2019","365545","Gladsaxe Søborg 3","FKIF Frederiksberg 3","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12585,1,8,,365545,1093,"
"2019","365548","Gladsaxe Søborg 3","Tingbjerg 2","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12585,1,8,,365548,1093,"
"2019","365718","Gladsaxe Søborg 1","Tingbjerg 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12588,1,8,,365718,1093,"
"2019","365749","Gladsaxe Søborg 2","Gentofte 3","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12589,1,8,,365749,1093,"
"2019","365774","Gladsaxe Søborg 3","KMB2010 2","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12590,1,8,,365774,1093,"
"2019","365803","Gladsaxe Søborg 4","Frederiksberg 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12591,1,8,,365803,1093,"
"2019","366883","Gladsaxe Søborg 1","Gentofte Motionist BK 1","walkover_or_not_attended","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12597,1,8,,366883,1093,"
"2019","366885","Gladsaxe Søborg 1","KBK Kbh. 1","walkover_or_not_attended","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12597,1,8,,366885,1093,"
"2019","366887","Gladsaxe Søborg 1","Hvidovre 1","walkover_or_not_attended","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12597,1,8,,366887,1093,"
"2019","366889","Gladsaxe Søborg 1","Gentofte Motionist BK 1","walkover_or_not_attended","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12597,1,8,,366889,1093,"
