"season","ageGroupId","leagueGroupId","teamName","league","matches","errors","errorRate"
"2025","2","18733","Gladsaxe Søborg 3","DMU Holdtræf U9 - 3 Spillere U9 DMU holdtræf","6","6","100"
"2025","2","18504","Gladsaxe Søborg 1","U09 C 3600 (3 spillere) BD (2. halvår) Pulje 2","6","6","100"
"2025","2","18129","Gladsaxe Søborg 1","U09 C 3600 (3 spillere) BD Pulje 1","4","4","100"
"2025","2","18507","Gladsaxe Søborg 2","U09 D 3300 (3 spillere) BD  (2. halvår) Pulje 2","6","6","100"
"2025","2","18127","Gladsaxe Søborg 2","U09 D 3300 (3 spillere) BD Pulje 1","4","4","100"
"2025","2","18506","Gladsaxe Søborg 3","U09 D 3300 (3 spillere) BD  (2. halvår) Pulje 1","6","6","100"
"2025","2","18128","Gladsaxe Søborg 3","U09 D 3300 (3 spillere) BD Pulje 2","4","4","100"
"2025","2","18508","Gladsaxe Søborg 4","U09 D 3300 (3 spillere) BD  (2. halvår) Pulje 3","6","6","100"
"2025","2","18509","Gladsaxe Søborg 5","U09 D 3300 (3 spillere) BD  (2. halvår) Pulje 4","6","6","100"
"2025","3","18583","Gladsaxe Søborg 1","DMU Hold U11C-D (4800) - 4 Spillere Pulje 2","3","3","100"
"2025","3","18697","Gladsaxe Søborg 1","DMU Hold U11C-D (4800) - 4 Spillere Finaleslutspil (1. - 4. plads)","2","2","100"
"2025","3","18134","Gladsaxe Søborg 2","U11 C-D 4800 (4 spillere) BD Pulje 1","7","7","100"
"2025","3","18135","Gladsaxe Søborg 3","U11 D 4600 (4 spillere) BD Pulje 1","10","10","100"
"2025","3","18138","Gladsaxe Søborg 4","U11 D 4600 (4 spillere) BD Pulje 4","8","8","100"
"2025","3","18133","Gladsaxe Søborg 5","U11 4200 (4 piger) BD Pulje 2","6","6","100"
"2025","4","18604","Gladsaxe Søborg 1","DMU Hold U13C-D (5000) - 4 Spillere Pulje 2","3","3","100"
"2025","4","18702","Gladsaxe Søborg 1","DMU Hold U13C-D (5000) - 4 Spillere Placeringskampe 9. - 12. plads (3'ere)","2","2","100"
"2025","4","17987","Gladsaxe Søborg 1","U13 A, 6000 (2+2) Pulje 1","6","2","33,3"
"2025","4","18610","Gladsaxe Søborg 2","DMU Hold U13D (4800) - 4 Spillere Pulje 4","3","3","100"
"2025","4","18735","Gladsaxe Søborg 2","DMU Hold U13D (4800) - 4 Spillere Kvartfinale 2 (nr. 1 fra pulje 3 og 4)","1","1","100"
"2025","4","18739","Gladsaxe Søborg 2","DMU Hold U13D (4800) - 4 Spillere 5. - 8. plads","2","2","100"
"2025","4","17993","Gladsaxe Søborg 2","U13 B, 5400 (2+2) Pulje 1","8","2","25"
"2025","4","18611","Gladsaxe Søborg 3","DMU Hold U13D (4800) - 4 Spillere Pulje 5","3","3","100"
"2025","4","18740","Gladsaxe Søborg 3","DMU Hold U13D (4800) - 4 Spillere Placeringskampe 9. - 16. plads (2'ere i puljen)","2","2","100"
"2025","4","18139","Gladsaxe Søborg 3","U13 C 5300 (4 spillere) BD Pulje 1","10","10","100"
"2025","4","18142","Gladsaxe Søborg 7","U13 D 4800 (4 spillere) BD Pulje 1","10","10","100"
"2025","4","18594","Gladsaxe Søborg 5","DMU Hold U13A 2+2 (6000) Pulje 2","3","1","33,3"
"2025","4","18143","Gladsaxe Søborg 5","U13 D 4800 (4 spillere) BD Pulje 2","10","10","100"
"2025","4","18144","Gladsaxe Søborg 6","U13 D 4800 (4 spillere) BD Pulje 3","8","8","100"
"2025","4","17982","Gladsaxe Søborg 7","Uge 38 - U13 A, 6000 (2+2) Pulje 1","2","1","50"
"2025","4","18141","Gladsaxe Søborg 8","U13 D 4400 (4 piger) BD Pulje 1","6","6","100"
"2025","4","17985","Gladsaxe Søborg 8","Uge 38 - U13 B, 5400 (2+2) Pulje 1","2","2","100"
"2025","4","17988","Gladsaxe Søborg 9","Uge 38 - U13 C, 5000 (2+2) Pulje 1","2","1","50"
"2025","5","18632","Gladsaxe Søborg 1","DMU Hold U15B (6400) - 4 Spillere Pulje 4","3","3","100"
"2025","5","18708","Gladsaxe Søborg 1","DMU Hold U15B (6400) - 4 Spillere Finaleslutspil (1. - 4. plads)","2","2","100"
"2025","5","18002","Gladsaxe Søborg 1","U15 A, 6800 (2+2) Pulje 1","6","1","16,7"
"2025","5","18623","Gladsaxe Søborg 2","DMU Hold U15C-D (5200) - 4 Spillere Pulje 1","2","2","100"
"2025","5","18716","Gladsaxe Søborg 2","DMU Hold U15C-D (5200) - 4 Spillere Finaleslutspil (1. - 4. plads)","2","2","100"
"2025","5","18145","Gladsaxe Søborg 2","U15 B 6400 (4 spillere) BD Pulje 1","9","9","100"
"2025","5","18763","Gladsaxe Søborg 3","DMU Hold U15C 2+2 (5400) Finaleslutspil (1. - 4. plads)","2","1","50"
"2025","5","17978","Gladsaxe Søborg 3","U15 C, 5400 (2+2) Pulje 1","7","1","14,3"
"2025","5","18148","Gladsaxe Søborg 4","U15 C-D 5200 (4 spillere) BD Pulje 1","8","8","100"
"2025","5","18149","Gladsaxe Søborg 5","U15 D 5000 (4 spillere) BD Pulje 1","12","12","100"
"2025","5","18150","Gladsaxe Søborg 6","U15 D 5000 (4 spillere) BD Pulje 2","12","12","100"
"2025","5","17996","Gladsaxe Søborg 8","Uge 38 - U15 C, 5400 (2+2) Pulje 1","2","1","50"
"2025","18","18154","Gladsaxe Søborg 1","C-D 5600 (4 spillere) BD Pulje 1","6","6","100"
"2025","18","18122","Gladsaxe Søborg 2","U17/U19 D, 5200 (4 spillere) Pulje 3","12","12","100"
"2025","18","17999","Gladsaxe Søborg 3","Uge 38 - U17/U19 D, 5000 (2+2) Pulje 1","2","1","50"
"2025","9","17955","Gladsaxe Søborg 4","4. Serie Pulje 1","6","1","16,7"
"2025","13","17963","Gladsaxe Søborg 2","1. Serie Pulje 1","8","8","100"
"2025","17","17965","Gladsaxe Søborg 1","70+ Eliteserien Pulje 1","7","7","100"
"2024","2","17590","Gladsaxe Søborg 1","DMU Hold U9D (2800) 4 Spillere Pulje 3","3","3","100"
"2024","2","17650","Gladsaxe Søborg 1","DMU Hold U9D (2800) 4 Spillere Placeringskampe (9. - 14. plads)","2","2","100"
"2024","2","17156","Gladsaxe Søborg 1","U9 D 2800 (4 spillere). Pulje 1","10","10","100"
"2024","2","17157","Gladsaxe Søborg 2","U9 D 2800 (4 spillere). Pulje 2","10","10","100"
"2024","3","17813","Gladsaxe Søborg","DMU Hold U11C (4000) 4 Spillere Kvartfinale 3 (nr. 1 pulje 2 og nr. 2 pulje 2)","1","1","100"
"2024","3","17849","Gladsaxe Søborg","DMU Hold U11C (4000) 4 Spillere Placeringskampe (5. - 8. plads) NY","3","3","100"
"2024","3","17809","Gladsaxe Søborg 1","DMU Hold U11C (4000) 4 Spillere Pulje 3","2","2","100"
"2024","3","17148","Gladsaxe Søborg 1","U11 C 4000 (4 spillere). Pulje 1","10","10","100"
"2024","3","17152","Gladsaxe Søborg 2","U11 D 3200 (4 spillere). Pulje 1","7","7","100"
"2024","3","17153","Gladsaxe Søborg 3","U11 D 3200 (4 spillere). Pulje 2","5","5","100"
"2024","3","17154","Gladsaxe Søborg 4","U11 D 3200 (4 spillere). Pulje 3","7","7","100"
"2024","3","17151","Gladsaxe Søborg 5","U11 D 2800 (4 piger). Pulje 2","10","10","100"
"2024","4","17632","Gladsaxe Søborg 1","DMU Hold U13A 2+2 (5600) Pulje 1","3","1","33,3"
"2024","4","17635","Gladsaxe Søborg 2","DMU Hold U13B (5000) 4 Spillere Pulje 2","4","4","100"
"2024","4","17674","Gladsaxe Søborg 2","DMU Hold U13B (5000) 4 Spillere Placeringskamp (5. - 6. plads)","1","1","100"
"2024","4","17117","Gladsaxe Søborg 2","U13 B, 5000 (4 spillere) Pulje 2","10","10","100"
"2024","4","17636","Gladsaxe Søborg 3","DMU Hold U13C (4200) 4 Spillere Pulje 1","3","3","100"
"2024","4","17677","Gladsaxe Søborg 3","DMU Hold U13C (4200) 4 Spillere Finale slutspil (1. - 4. plads)","2","2","100"
"2024","4","17094","Gladsaxe Søborg 3","U13 C, 4200 (4 spillere) Pulje 1","7","7","100"
"2024","4","17146","Gladsaxe Søborg 7","U13 D 3600 (4 spillere). Pulje 2","8","8","100"
"2024","4","17147","Gladsaxe Søborg 5","U13 D 3600 (4 spillere). Pulje 3","6","6","100"
"2024","4","17145","Gladsaxe Søborg 6","U13 D 3600 (4 spillere). Pulje 1","5","5","100"
"2024","4","17091","Gladsaxe Søborg 8","U13 D, 3200 (4 piger) Pulje 1","12","2","16,7"
"2024","5","17006","Gladsaxe Søborg 1","U15 B, 5400 (2+2) Pulje 1","7","2","28,6"
"2024","5","17141","Gladsaxe Søborg 2","U15 C 4800 (4 spillere). Pulje 1","9","9","100"
"2024","5","17143","Gladsaxe Søborg 5","U15 D 4000 (4 spillere). Pulje 1","9","9","100"
"2024","18","17100","Gladsaxe Søborg 1","U17/U19 D, 4600 (4 spillere) Pulje 1","12","12","100"
"2024","13","16931","Gladsaxe Søborg 2","60+ 1. Serie Pulje 1","7","7","100"
"2024","17","16929","Gladsaxe Søborg 1","70+ Eliteserien Pulje 1","7","7","100"
"2023","2","16024","Gladsaxe Søborg 2","U09 2400 4 Spillere Pulje 1","8","8","100"
"2023","3","16527","Gladsaxe Søborg 1","DMU H U11 (2+2) Pulje 1","2","1","50"
"2023","3","15949","Gladsaxe Søborg 1","U11 - 2+2 Pulje 1","8","2","25"
"2023","3","16534","Gladsaxe Søborg 2","DMU H - U11 3200 (4 spillere) Pulje 3","2","2","100"
"2023","3","16677","Gladsaxe Søborg 2","DMU H - U11 3200 (4 spillere) Kvartfinale 2 (nr. 1 pulje 3 og 4)","1","1","100"
"2023","3","16680","Gladsaxe Søborg 2","DMU H - U11 3200 (4 spillere) Finale slutspil (1. - 4. plads)","2","2","100"
"2023","3","16030","Gladsaxe Søborg 2","U11 - 3200 4 spillere Pulje 1","7","7","100"
"2023","3","16544","Gladsaxe Søborg 3","DMU H - U11 2800 (4 piger) Pulje 1","5","2","40"
"2023","3","16031","Gladsaxe Søborg 3","U11 - 3200 4 spillere Pulje 2","6","6","100"
"2023","3","16026","Gladsaxe Søborg 4","U11 - 2900 4 spillere Pulje 2","10","10","100"
"2023","3","16044","Gladsaxe Søborg 5","U11 - 2800 (4 piger) Pulje 1","8","1","12,5"
"2023","4","16097","Gladsaxe Søborg 1","U13 - 5000 4 spillere Pulje 1","10","10","100"
"2023","4","15993","Gladsaxe Søborg 1","U13 - 4400 (4 spillere) Pulje 1","10","10","100"
"2023","4","16099","Gladsaxe Søborg 3","U13 - 3500 4 spillere Pulje 1","8","8","100"
"2023","5","16091","Gladsaxe Søborg 2","U15 - 4200 4 spillere Pulje 1","12","12","100"
"2023","5","16093","Gladsaxe Søborg 3","U15 - 3800 4 spillere Pulje 1","6","6","100"
"2023","5","16094","Gladsaxe Søborg 4","U15 - 3800 4 spillere Pulje 2","6","6","100"
"2023","5","16095","Gladsaxe Søborg 5","U15 - 4000 4 piger Pulje 1","10","1","10"
"2023","18","16610","Gladsaxe Søborg 1","DMU H - U17/U19 6600 (4 spillere) Pulje 4","3","3","100"
"2023","18","16654","Gladsaxe Søborg 1","DMU H - U17/U19 6600 (4 spillere) Slutspil 5.-8. plads","1","1","100"
"2023","18","16087","Gladsaxe Søborg 1","U17/U19 - 6600 4 spillere Pulje 1","6","6","100"
"2023","18","16088","Gladsaxe Søborg 2","U17/U19 - 4800 4 spillere Pulje 1","8","8","100"
"2023","9","15888","Gladsaxe Søborg 3","20. serie Pulje 1","6","6","100"
"2023","17","15897","Gladsaxe Søborg 1","1. Serie Pulje 1","8","8","100"
"2022","2","14983","Gladsaxe Søborg 1","U09 2800 4 Spillere Pulje 1","6","6","100"
"2022","3","15528","Gladsaxe Søborg 1","DMU H - U11 3600 4 spillere Pulje 1","5","5","100"
"2022","3","14989","Gladsaxe Søborg 2","U11 3600 4 Spillere Pulje 1","10","10","100"
"2022","3","15538","Gladsaxe Søborg 2","DMU H - U11 3000 4 spillere Pulje 1","3","3","100"
"2022","3","15579","Gladsaxe Søborg 2","DMU H - U11 3000 4 spillere Placeringskampe (9. - 12. plads)","2","2","100"
"2022","3","14987","Gladsaxe Søborg 3","U11 3200 4 Spillere Pulje 1","7","7","100"
"2022","3","14985","Gladsaxe Søborg 4","U11 3000 4 Spillere Pulje 1","7","7","100"
"2022","3","14986","Gladsaxe Søborg 5","U11 3000 4 Spillere Pulje 2","6","6","100"
"2022","4","14996","Gladsaxe Søborg 1","U13 4400 4 Spillere Pulje 2","10","10","100"
"2022","4","14992","Gladsaxe Søborg 2","U13 3400 4 Spillere Pulje 2","7","7","100"
"2022","4","15698","Gladsaxe Søborg 2","DMU H - U13 3400 4 spillere Pulje 1","2","2","100"
"2022","4","15710","Gladsaxe Søborg 2","DMU H - U13 3400 4 spillere Kvartfinale 5 (nr. 2 pulje 1 og 2)","1","1","100"
"2022","4","15721","Gladsaxe Søborg 2","DMU H - U13 3400 4 spillere Placeringskamp (13. - 16. plads)","2","2","100"
"2022","4","14991","Gladsaxe Søborg 3","U13 3400 4 Spillere Pulje 1","7","7","100"
"2022","5","15620","Gladsaxe Søborg 1","DMU H - U15 6400 4 spillere Pulje 1","2","2","100"
"2022","5","15791","Gladsaxe Søborg 1","DMU H - U15 6400 4 spillere Finale slutspil (1. - 4. plads)","2","2","100"
"2022","5","15003","Gladsaxe Søborg 1","U15 6400 4 Spillere Pulje 1","6","6","100"
"2022","5","15002","Gladsaxe Søborg 2","U15 5600 4 Spillere Pulje 1","7","7","100"
"2022","5","15001","Gladsaxe Søborg 3","U15 4800 4 Spillere Pulje 2","10","10","100"
"2022","5","14999","Gladsaxe Søborg 4","U15 4000 4 Spillere Pulje 2","4","4","100"
"2022","5","14997","Gladsaxe Søborg 5","U15 3400 4 Piger Pulje 1","10","10","100"
"2022","18","15662","Gladsaxe Søborg 1","DMU H - U17/U19 5200 4 spillere Pulje 1","2","2","100"
"2022","18","15670","Gladsaxe Søborg 1","DMU H - U17/U19 5200 4 spillere Finale slutspil (1. - 4. plads)","2","2","100"
"2022","18","15334","Gladsaxe Søborg 1","U17/U19 5200 4 Spillere pulje 1 - Ny Pulje 1","6","6","100"
"2022","17","14882","Gladsaxe Søborg 1","SEN+70 1.serie Pulje 1","6","6","100"
"2021","2","14556","Gladsaxe Søborg 1","DMU H - U9 2700 - 4 spillere Pulje 1","4","4","100"
"2021","2","14558","Gladsaxe Søborg 1","DMU H - U9 2700 - 4 spillere Finale","1","1","100"
"2021","2","14136","Gladsaxe Søborg 1","U09 2700 4 Spillere Pulje 1","7","7","100"
"2021","3","14138","Gladsaxe Søborg 1","U11 3100 4 Spillere Pulje 1","8","8","100"
"2021","3","14139","Gladsaxe Søborg 2","U11 3100 4 Spillere Pulje 2","8","8","100"
"2021","3","14140","Gladsaxe Søborg 3","U11 3100 4 Spillere Pulje 3","8","8","100"
"2021","4","14731","Gladsaxe Søborg 1","DMU H - U13 5200 - 4 spillere Pulje 3","2","2","100"
"2021","4","14735","Gladsaxe Søborg 1","DMU H - U13 5200 - 4 spillere Kvartfinale 3","1","1","100"
"2021","4","14737","Gladsaxe Søborg 1","DMU H - U13 5200 - 4 spillere Finale slutspil 1. - 4. plads","2","2","100"
"2021","4","14147","Gladsaxe Søborg 1","U13 5200 4 Spillere Pulje 1","7","7","100"
"2021","4","14143","Gladsaxe Søborg 2","U13 3500 4 Spillere Pulje 3","9","9","100"
"2021","4","14142","Gladsaxe Søborg 3","U13 3500 4 Spillere Pulje 2","8","8","100"
"2021","5","14081","Gladsaxe Søborg 1","U15 7600 4 Spillere Pulje 1","6","6","100"
"2021","5","14157","Gladsaxe Søborg 2","U15 4800 4 Spillere Pulje 1","6","6","100"
"2021","5","14155","Gladsaxe Søborg 3","U15 4300 4 Spillere Pulje 1","6","6","100"
"2021","1","13790","Gladsaxe Søborg","Danmarksserien Nedrykning fra Danmarksserien pulje C","4","1","25"
"2021","9","13959","Gladsaxe Søborg 3","SEN+40 4. Serie Pulje 1","6","1","16,7"
"2021","9","13961","Gladsaxe Søborg 4","SEN+40 20. Serie Pulje 1","5","5","100"
"2021","13","13966","Gladsaxe Søborg 1","SEN+60 1. Serie Pulje 1","6","6","100"
"2021","17","13965","Gladsaxe Søborg 1","SEN+70 1. Serie P1 Pulje 1","4","4","100"
"2020","2","13487","Gladsaxe Søborg 2","U09 2500 4 Spillere Pulje 1","6","6","100"
"2020","3","13484","Gladsaxe Søborg 1","U11 3000 4 Spillere Pulje 1","8","8","100"
"2020","3","13328","Gladsaxe Søborg 1","U11 4+2 Pulje 1","6","3","50"
"2020","3","13485","Gladsaxe Søborg 2","U11 3000 4 Spillere Pulje 2","8","8","100"
"2020","4","13477","Gladsaxe Søborg 1","U13 3800 4 Spillere Pulje 1","9","9","100"
"2020","4","13480","Gladsaxe Søborg 2","U13 3400 4 Spillere Pulje 2","7","7","100"
"2020","5","13470","Gladsaxe Søborg 1","U15 6400 4 Spillere Pulje 1","6","6","100"
"2020","5","13473","Gladsaxe Søborg 2","U15 4200 4 Spillere P2 Pulje 2","7","7","100"
"2020","5","13474","Gladsaxe Søborg 3","U15 3800 4 Piger Pulje 1","8","2","25"
"2020","1","13228","Gladsaxe Søborg","Danmarksserien Pulje 5","7","3","42,9"
"2020","1","13230","Gladsaxe Søborg 2","Danmarksserien Pulje 7","7","3","42,9"
"2020","1","13285","Gladsaxe Søborg 3","SEN 2. Serie P1 Pulje 1","8","5","62,5"
"2020","9","13297","Gladsaxe Søborg 1","40+ 1. Serie Pulje 1","8","6","75"
"2020","9","13299","Gladsaxe Søborg 2","40+ 2. Serie Pulje 1","6","6","100"
"2020","9","13300","Gladsaxe Søborg 3","40+ 4. Serie Pulje 1","7","6","85,7"
"2020","9","13293","Gladsaxe Søborg 4","40+ 20. Serie Pulje 1","5","5","100"
"2020","11","13304","Gladsaxe Søborg 1","50+ 1. Serie Pulje 1","8","7","87,5"
"2020","11","13305","Gladsaxe Søborg 2","50+ 2. Serie Pulje 1","8","7","87,5"
"2020","11","13306","Gladsaxe Søborg 3","50+ 3. Serie Pulje 1","6","5","83,3"
"2020","11","13307","Gladsaxe Søborg 4","50+ 4. Serie Pulje 1","7","6","85,7"
"2020","13","13311","Gladsaxe Søborg 1","60+ 1. Serie Pulje 1","8","6","75"
"2020","13","13312","Gladsaxe Søborg 2","60+ 2. Serie Pulje 1","8","6","75"
"2020","17","13302","Gladsaxe Søborg 1","70+ 1. Serie Pulje 1","4","4","100"
"2019","3","12798","Gladsaxe Søborg 1","U11 - 3400 - 4 spillere Pulje 1","5","5","100"
"2019","4","12792","Gladsaxe Søborg 1","U13 - 3800 - 4 spillere Pulje 1","5","5","100"
"2019","5","12784","Gladsaxe Søborg 1","U15 - 6200 - 4 spillere Pulje 1","10","10","100"
"2019","1","13102","Gladsaxe Søborg","Danmarksserien Kvalifikation til 3. division pulje D","4","1","25"
"2019","1","13144","Gladsaxe Søborg 2","KS-Oprykning KS-Oprykning","4","1","25"
"2019","1","12570","Gladsaxe Søborg 3","SEN 2. Serie P1 Pulje 1","7","2","28,6"
"2019","9","12580","Gladsaxe Søborg 1","40+ 1. Serie Pulje 1","7","1","14,3"
"2019","9","12583","Gladsaxe Søborg 2","40+ 3. Serie Pulje 1","7","1","14,3"
"2019","9","12585","Gladsaxe Søborg 3","40+ 4. Serie Pulje 1","8","2","25"
"2019","9","12584","Gladsaxe Søborg 4","40+ 6. Serie Pulje 1","5","1","20"
"2019","11","12588","Gladsaxe Søborg 1","50+ 2. Serie Pulje 1","7","1","14,3"
"2019","11","12589","Gladsaxe Søborg 2","50+ 3. Serie Pulje 1","7","1","14,3"
"2019","11","12590","Gladsaxe Søborg 3","50+ 4. Serie Pulje 1","7","1","14,3"
"2019","11","12591","Gladsaxe Søborg 4","50+ 5. Serie Pulje 1","6","1","16,7"
"2019","13","12594","Gladsaxe Søborg 1","60+ 1. Serie Pulje 1","8","2","25"
"2019","13","12595","Gladsaxe Søborg 2","60+ 2. Serie Pulje 1","8","2","25"
"2019","17","12597","Gladsaxe Søborg 1","70+ 1. Serie Pulje 1","6","6","100"
"2018","3","11279","Gladsaxe Søborg 1","U11 C 4 Spillere Pulje 1","10","10","100"
"2018","3","11401","Gladsaxe Søborg 2","U11 D 4 Spillere P2 Pulje 2","6","6","100"
"2018","4","11418","Gladsaxe Søborg 1","U13 CD 4 Spillere Pulje 1","10","10","100"
"2018","18","11355","Gladsaxe Søborg 1","U17/19 M 4 Spillere Pulje 1","7","7","100"
"2018","18","11771","Gladsaxe Søborg 2","U17/U19 A 4 spillere Pulje 1","6","6","100"
"2017","3","9302","Gladsaxe Søborg","U11 D (4) P2 Pulje 2","7","7","100"
"2017","4","9291","Gladsaxe Søborg","U13 B (4) Pulje 1","5","5","100"
"2017","4","9296","Gladsaxe Søborg 2","U13 C (4) Pulje 1","7","7","100"
"2017","5","10543","Gladsaxe Søborg 1","DMU-Hold U15 M 4 Spillere Pulje 1","3","3","100"
"2017","5","10548","Gladsaxe Søborg 1","DMU-Hold U15 M 4 Spillere 7. - 8. plads","1","1","100"
"2017","5","9595","Gladsaxe Søborg 1","U15 M 4 spillere Pulje 1","9","9","100"
"2017","5","9290","Gladsaxe Søborg 2","U15 B (4) Pulje 1","5","5","100"
"2017","18","9592","Gladsaxe Søborg 1","U17/U19 M/A 4+2 Pulje 1","8","2","25"
"2017","18","9288","Gladsaxe Søborg 2","U17/19 B (4) Pulje 1","6","6","100"
"2016","3","9137","Gladsaxe Søborg","Slutspil U11 D (4) Pulje 1","1","1","100"
"2016","3","7668","Gladsaxe Søborg","U11 D (4) P1 Pulje 1","6","6","100"
"2016","3","8987","Gladsaxe Søborg 1","DMU-Hold U11 D 4 Spillere Pulje 1","3","3","100"
"2016","3","8997","Gladsaxe Søborg 1","DMU-Hold U11 D 4 Spillere Finale 1. - 4. plads","2","2","100"
"2016","4","7692","Gladsaxe Søborg","U13 C (4) P2 Pulje 1","7","7","100"
"2016","5","7677","Gladsaxe Søborg","U15 A (4+2) Pulje 1","7","1","14,3"
"2016","5","8905","Gladsaxe Søborg 1","DMU-Hold U15 A 4+2 Pulje 1","4","3","75"
"2016","5","7679","Gladsaxe Søborg 2","U15 B (4) Pulje 1","6","6","100"
"2016","6","7685","Gladsaxe Søborg","U17/U19 B (4) P2 Pulje 1","4","4","100"
"2016","18","8918","Gladsaxe Søborg 1","DMU-Hold U17/19 B 4 Spillere Pulje 4","2","2","100"
"2016","18","9019","Gladsaxe Søborg 1","DMU-Hold U17/19 B 4 Spillere Finale 1. - 4. plads","2","2","100"
"2016","1","7640","Gladsaxe Søborg 3","3. Serie P1 Pulje 1","7","1","14,3"
"2016","1","7643","Gladsaxe Søborg 4","4. Serie P2 Pulje 1","8","8","100"
"2016","1","7644","Gladsaxe Søborg 4","30. Serie P1 Pulje 1","9","3","33,3"
"2016","9","7631","Gladsaxe Søborg","40+ 1.serie Pulje 1","7","1","14,3"
"2016","9","7647","Gladsaxe Søborg 3","40+ 4.serie Pulje 1","7","1","14,3"
"2016","11","7652","Gladsaxe Søborg","50+ 1.serie Pulje 1","8","1","12,5"
"2016","11","7654","Gladsaxe Søborg 3","50+ 3.serie Pulje 1","7","1","14,3"
"2016","13","7660","Gladsaxe Søborg","60+ 1.serie Pulje 1","8","1","12,5"
"2015","3","6083","Gladsaxe Søborg","U11 B Række 4 Pulje 1","9","9","100"
"2015","3","6085","Gladsaxe Søborg","U11 D Række 4 Pulje 1","8","8","100"
"2015","4","6089","Gladsaxe Søborg","U13 B Række 4 Pulje 1","8","8","100"
"2015","4","6091","Gladsaxe Søborg 2","U13 D Række 4 Pulje 1","8","8","100"
"2015","6","6099","Gladsaxe Søborg","U17 A Række 4+2 Pulje 1","9","9","100"
"2015","1","6013","Gladsaxe Søborg 3","2. serie P2  Pulje 1","7","1","14,3"
"2015","1","6019","Gladsaxe Søborg 4","4. serie P1  Pulje 1","7","1","14,3"
"2015","1","6022","Gladsaxe Søborg 5","5. serie P1  Pulje 1","6","3","50"
"2015","11","5984","Gladsaxe Søborg 2","50+ 2.serie Pulje 1","7","1","14,3"
"2014","3","4253","Gladsaxe Søborg","U11 serie X1 (4 spillere C) Pulje 1","7","7","100"
"2014","3","4254","Gladsaxe Søborg 2","U11 serie X2 (4 spillere C) Pulje 1","6","6","100"
"2014","4","4260","Gladsaxe Søborg 2","U13 serie X2 (4 spillere C) Pulje 1","7","7","100"
"2014","5","4262","Gladsaxe Søborg","U15 2.serie (4+2 M) Pulje 1","7","7","100"
"2014","5","4264","Gladsaxe Søborg 2","U15 serie X1 (4 spillere C) Pulje 1","7","7","100"
"2014","6","4266","Gladsaxe Søborg","U17 2.serie (4+2 M) Pulje 1","10","10","100"
"2014","6","4267","Gladsaxe Søborg 2","U17 serie X1 (4 spillere C) Pulje 1","7","7","100"
"2014","9","4245","Gladsaxe Søborg 3","40+ 5.serie Pulje 1","7","1","14,3"
"2014","9","4247","Gladsaxe Søborg 4","40+ 7.serie Pulje 1","7","1","14,3"
"2013","3","2644","Gladsaxe Søborg","U11 3. Serie Pulje 1","8","8","100"
"2013","3","2645","Gladsaxe Søborg 2","U11 Serie X1 Pulje 1","5","5","100"
"2013","5","2686","Gladsaxe Søborg","U15 2. serie Pulje 1","9","9","100"
"2013","5","2688","Gladsaxe Søborg 2","U15 Serie X1 Pulje 1","5","5","100"
"2013","5","2690","Gladsaxe Søborg 3","U15 Serie X3 Pulje 1","6","6","100"
"2013","6","2692","Gladsaxe Søborg","U17 2. serie Pulje 1","4","4","100"
"2013","6","2693","Gladsaxe Søborg","U17 Serie X1 Pulje 1","6","6","100"
"2012","3","1311","Gladsaxe Søborg","U11 3. Serie U11 3. Serie","6","6","100"
"2012","4","1318","Gladsaxe Søborg","U13 3. Serie U13 3. Serie","7","7","100"
"2012","4","1322","Gladsaxe Søborg 2","U13 Serie X1 U13 Serie X1","9","9","100"
"2012","5","1326","Gladsaxe Søborg","U15 3. Serie U15 3. Serie","7","7","100"
"2012","5","1327","Gladsaxe Søborg 2","U15 Serie X1 U15 Serie X1","7","7","100"
