"sæson","hold","niveau_denne_sæson","placering","hændelse","kval_modstander","kval_resultat","niveau_næste_sæson_algoritme","niveau_næste_sæson_faktisk","christoffer_bekræftet","source_league_group_id","source_group_name_raw","source_group_type","source_match_id","related_qualification_group_ids"
"2010/2011","Team Skælskør-Slagelse 1","Ligaen","1","Liga-grundspil","","","ikke fundet","ikke fundet","","398","Badmintonligaen","grundspil","",""
"2010/2011","Greve 1","Ligaen","2","Liga-grundspil","","","ikke fundet","ikke fundet","","398","Badmintonligaen","grundspil","",""
"2010/2011","Værløse 1","Ligaen","3","Liga-grundspil","","","ikke fundet","ikke fundet","","398","Badmintonligaen","grundspil","",""
"2010/2011","Team Aarhus 1","Ligaen","4","Liga-grundspil","","","ikke fundet","ikke fundet","","398","Badmintonligaen","grundspil","",""
"2010/2011","Lillerød 1","Ligaen","5","Liga-grundspil","","","ikke fundet","ikke fundet","","398","Badmintonligaen","grundspil","",""
"2010/2011","Vendsyssel 1","Ligaen","6","Liga-grundspil","","","ikke fundet","ikke fundet","","398","Badmintonligaen","grundspil","",""
"2010/2011","Skovshoved 1","Ligaen","7","forbliver i Ligaen (nr. 7-8)","","","ikke fundet","ikke fundet","","398","Badmintonligaen","grundspil","",""
"2010/2011","Gentofte 1","Ligaen","8","forbliver i Ligaen (nr. 7-8)","","","ikke fundet","ikke fundet","","398","Badmintonligaen","grundspil","",""
"2010/2011","Odense OBK 1","Ligaen","9","Ligakvalifikationspulje (ikke direkte 2-holds kamp)","","","ikke fundet","ikke fundet","","398","Badmintonligaen","grundspil","","420"
"2010/2011","Ikast 1","Ligaen","10","automatisk nedrykning","","","ikke fundet","ikke fundet","","398","Badmintonligaen","grundspil","","420"
"2010/2011","Aarhus AB 1","1. division","1","1. divisions kvalifikationsgruppe mod Ligaen","","","ikke fundet","ikke fundet","","405","Grundspil","grundspil","","420"
"2010/2011","Solrød Strand 1","1. division","2","1. divisions kvalifikationsgruppe mod Ligaen","","","ikke fundet","ikke fundet","","405","Grundspil","grundspil","","420"
"2010/2011","Randers BK 1","1. division","3","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","ikke fundet","","405","Grundspil","grundspil","","406"
"2010/2011","Aalborg Triton 1","1. division","4","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","ikke fundet","","405","Grundspil","grundspil","","406"
"2010/2011","Værløse 2","1. division","5","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","1. division","","405","Grundspil","grundspil","","406"
"2010/2011","Højbjerg 1","1. division","6","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","ikke fundet","","405","Grundspil","grundspil","","406"
"2010/2011","Team Fredericia 1","1. division","7","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","ikke fundet","","405","Grundspil","grundspil","","406"
"2010/2011","Humlebæk 1","1. division","8","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","ikke fundet","","405","Grundspil","grundspil","","406"
"2011/2012","Team Skælskør-Slagelse","Ligaen","1","Liga-grundspil","","","ikke fundet","Ligaen","","3","Grundspil","grundspil","",""
"2011/2012","Greve","Ligaen","2","Liga-grundspil","","","ikke fundet","Ligaen","","3","Grundspil","grundspil","",""
"2011/2012","Vendsyssel","Ligaen","3","Liga-grundspil","","","ikke fundet","Ligaen","","3","Grundspil","grundspil","",""
"2011/2012","Værløse","Ligaen","4","Liga-grundspil","","","ikke fundet","Ligaen","","3","Grundspil","grundspil","",""
"2011/2012","Aarhus AB (O)","Ligaen","5","Liga-grundspil","","","ikke fundet","Ligaen","","3","Grundspil","grundspil","",""
"2011/2012","Skovshoved","Ligaen","6","Liga-grundspil","","","ikke fundet","Ligaen","","3","Grundspil","grundspil","",""
"2011/2012","Solrød Strand (O)","Ligaen","7","forbliver i Ligaen (nr. 7-8)","","","ikke fundet","Ligaen","","3","Grundspil","grundspil","",""
"2011/2012","Gentofte","Ligaen","8","forbliver i Ligaen (nr. 7-8)","","","ikke fundet","Ligaen","","3","Grundspil","grundspil","",""
"2011/2012","Team Aarhus","Ligaen","9","Ligakvalifikationspulje (ikke direkte 2-holds kamp)","","","ikke fundet","ikke fundet","","3","Grundspil","grundspil","","1078"
"2011/2012","Lillerød","Ligaen","10","automatisk nedrykning","","","ikke fundet","Ligaen","","3","Grundspil","grundspil","","1078"
"2011/2012","Odense OBK (N)","1. division","1","1. divisions kvalifikationsgruppe mod Ligaen; BD (N) = historisk bevægelsesmarkør","","","ikke fundet","Ligaen","","4","1. division","grundspil","","1078"
"2011/2012","Ikast (N)","1. division","2","1. divisions kvalifikationsgruppe mod Ligaen; BD (N) = historisk bevægelsesmarkør","","","ikke fundet","ikke fundet","","4","1. division","grundspil","","1078"
"2011/2012","Aalborg Triton","1. division","3","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","1. division","","4","1. division","grundspil","","1079"
"2011/2012","Randers BK","1. division","4","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","1. division","","4","1. division","grundspil","","1079"
"2011/2012","Værløse 2","1. division","5","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","1. division","","4","1. division","grundspil","","1079"
"2011/2012","Gentofte 2 (O)","1. division","6","1. divisions nedrykningsspil mod 2. division; BD (O) = historisk bevægelsesmarkør","","","ikke fundet","1. division","","4","1. division","grundspil","","1079"
"2011/2012","Solrød Strand 2 (O)","1. division","7","1. divisions nedrykningsspil mod 2. division; BD (O) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","4","1. division","grundspil","","1079"
"2011/2012","Team Fredericia","1. division","8","1. divisions nedrykningsspil mod 2. division","","","ikke fundet","2. division","","4","1. division","grundspil","","1079"
"2011/2012","Skovshoved 2 (O)","2. division","1","2. divisions oprykningsspil/kvalifikation mod 1. division; BD (O) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","5","Pulje 1","grundspil","","1074"
"2011/2012","Odense OBK 2","2. division","2","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","5","Pulje 1","grundspil","","1074"
"2011/2012","Aarhus AB 2 (O)","2. division","3","2. divisions oprykningsspil/kvalifikation mod 1. division; BD (O) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","5","Pulje 1","grundspil","","1074"
"2011/2012","Skovbakken","2. division","4","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","5","Pulje 1","grundspil","","1074"
"2011/2012","Højbjerg (N)","2. division","5","forbliver i 2. division (midterfelt); BD (N) = historisk bevægelsesmarkør","","","ikke fundet","ikke fundet","","5","Pulje 1","grundspil","",""
"2011/2012","Badminton Esbjerg","2. division","6","forbliver i 2. division (midterfelt)","","","ikke fundet","2. division","","5","Pulje 1","grundspil","",""
"2011/2012","BK Aalborg","2. division","7","forbliver i 2. division (midterfelt)","","","ikke fundet","ikke fundet","","5","Pulje 1","grundspil","",""
"2011/2012","Viby J","2. division","8","forbliver i 2. division (midterfelt)","","","ikke fundet","ikke fundet","","5","Pulje 1","grundspil","",""
"2011/2012","Hvidovre","2. division","1","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","1. division","","6","Pulje 2","grundspil","","1074"
"2011/2012","KBK Kbh.","2. division","2","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","1. division","","6","Pulje 2","grundspil","","1074"
"2011/2012","Greve 2","2. division","3","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","6","Pulje 2","grundspil","","1074"
"2011/2012","Holbæk (O)","2. division","4","2. divisions oprykningsspil/kvalifikation mod 1. division; BD (O) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","6","Pulje 2","grundspil","","1074"
"2011/2012","KMB2010","2. division","5","forbliver i 2. division (midterfelt)","","","ikke fundet","2. division","","6","Pulje 2","grundspil","",""
"2011/2012","Drive","2. division","6","forbliver i 2. division (midterfelt)","","","ikke fundet","ikke fundet","","6","Pulje 2","grundspil","",""
"2011/2012","Lillerød 2 (O)","2. division","7","forbliver i 2. division (midterfelt); BD (O) = historisk bevægelsesmarkør","","","ikke fundet","ikke fundet","","6","Pulje 2","grundspil","",""
"2011/2012","Humlebæk (N)","2. division","8","forbliver i 2. division (midterfelt); BD (N) = historisk bevægelsesmarkør","","","ikke fundet","ikke fundet","","6","Pulje 2","grundspil","",""
"2012/2013","KMB2010","2. division","1","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","1. division","","2164","Kval. til 1. div.","grundspil","","2164"
