"season","matchId","teamName","opponent","ageGroupId","leagueGroupId","roundDate","gameTime"
"2018","337417","Gladsaxe Søborg 1","Herlufsholm 1","18","11355","2018-10-28",
"2018","337416","Gladsaxe Søborg 1","Team Storstrøm 1","18","11355","2018-10-28",
"2018","337425","Gladsaxe Søborg 1","Skælskør 1","18","11355","2018-11-18",
"2018","337423","Gladsaxe Søborg 1","Herlev/Hjorten 1","18","11355","2018-11-18",
"2019","366883","Gladsaxe Søborg 1","Gentofte Motionist BK 1","17","12597","2019-11-03",
"2019","366885","Gladsaxe Søborg 1","KBK Kbh. 1","17","12597","2019-11-24",
"2019","366887","Gladsaxe Søborg 1","Hvidovre 1","17","12597","2019-12-15",
"2019","366889","Gladsaxe Søborg 1","Gentofte Motionist BK 1","17","12597","2020-01-12",
"2019","366891","Gladsaxe Søborg 1","KBK Kbh. 1","17","12597","2020-02-02",
"2019","384292","Gladsaxe Søborg","Vordingborg","1","13102","2020-03-21",
"2019","385098","Gladsaxe Søborg 2","KSI Badmintonklub Kbh. 1","1","13144","2020-03-22",
"2019","365220","Gladsaxe Søborg 3","KSI Badmintonklub Kbh. 3","1","12570","2020-03-22",
"2019","365416","Gladsaxe Søborg 1","Lyngby 2","9","12580","2020-03-22",
"2019","365483","Gladsaxe Søborg 2","BC KVIK Kbh. 1","9","12583","2020-03-22",
"2019","365545","Gladsaxe Søborg 3","FKIF Frederiksberg 3","9","12585","2020-03-22",
"2019","365512","Gladsaxe Søborg 4","Posten Kbh. 2","9","12584","2020-03-22",
"2019","365803","Gladsaxe Søborg 4","Frederiksberg 1","11","12591","2020-03-22",
"2019","365749","Gladsaxe Søborg 2","Gentofte 3","11","12589","2020-03-22",
"2019","365774","Gladsaxe Søborg 3","KMB2010 2","11","12590","2020-03-22",
"2019","366979","Gladsaxe Søborg 1","Hvidovre HB2000 1","13","12594","2020-03-22",
"2019","366944","Gladsaxe Søborg 2","KBK Kbh. 2","13","12595","2020-03-22",
"2019","366893","Gladsaxe Søborg 1","Hvidovre 1","17","12597","2020-03-22",
"2019","365718","Gladsaxe Søborg 1","Tingbjerg 1","11","12588","2020-03-22",
"2019","365548","Gladsaxe Søborg 3","Tingbjerg 2","9","12585","2020-04-05",
"2019","366986","Gladsaxe Søborg 1","BK36 Kbh. 1","13","12594","2020-04-05",
"2019","365224","Gladsaxe Søborg 3","SAIF Kbh. 8","1","12570","2020-04-05",
"2019","366948","Gladsaxe Søborg 2","KMB2010 1","13","12595","2020-04-05",
"2020","387755","Gladsaxe Søborg 1","Frederiksberg 1","17","13302","2020-09-13",
"2020","387757","Gladsaxe Søborg 1","KBK Kbh. 1","17","13302","2020-10-11",
"2020","387878","Gladsaxe Søborg 3","KMB2010 2","11","13306","2020-12-13",
"2020","388044","Gladsaxe Søborg 2","Frederiksberg 1","13","13312","2020-12-13",
"2020","387902","Gladsaxe Søborg 4","Rødovre/KFUM KBH 2","11","13307","2020-12-13",
"2020","387879","Gladsaxe Søborg 3","Gentofte 3","11","13306","2021-01-10",
"2020","388049","Gladsaxe Søborg 2","KBK Kbh. 2","13","13312","2021-01-10",
"2020","388014","Gladsaxe Søborg 1","Hvidovre HB2000 1","13","13311","2021-01-10",
"2020","387907","Gladsaxe Søborg 4","Valby BC 1","11","13307","2021-01-10",
"2020","388054","Gladsaxe Søborg 2","Søvang 1","13","13312","2021-01-31",
"2020","387884","Gladsaxe Søborg 3","KBK Kbh. 1","11","13306","2021-01-31",
"2020","388019","Gladsaxe Søborg 1","Vanløse 1","13","13311","2021-01-31",
"2020","387909","Gladsaxe Søborg 4","Tingbjerg 2","11","13307","2021-01-31",
"2020","387862","Gladsaxe Søborg 2","Hvidovre HB2000 1","11","13305","2021-02-14",
"2020","388020","Gladsaxe Søborg 1","Drive 1","13","13311","2021-02-14",
"2020","387864","Gladsaxe Søborg 2","Lyngby 2","11","13305","2021-03-21",
"2020","387887","Gladsaxe Søborg 3","Drive 2","11","13306","2021-03-21",
"2020","404672","Gladsaxe Søborg 1","Hvidovre 1","17","13302","2021-03-21",
"2020","388024","Gladsaxe Søborg 1","Lyngby 1","13","13311","2021-03-21",
"2020","388063","Gladsaxe Søborg 2","Posten Kbh. 1","13","13312","2021-03-21",
"2020","387915","Gladsaxe Søborg 4","Gentofte 4","11","13307","2021-03-21",
"2020","404143","Gladsaxe Søborg 3","Lyngby 3","11","13306","2021-04-11",
"2020","403990","Gladsaxe Søborg 1","FKIF Frederiksberg 1","13","13311","2021-04-11",
"2020","403998","Gladsaxe Søborg 2","Lyngby 2","13","13312","2021-04-11",
"2020","404142","Gladsaxe Søborg 2","BC37 Amager 1","11","13305","2021-04-11",
"2020","404147","Gladsaxe Søborg 4","Vanløse 1","11","13307","2021-04-11",
"2020","404003","Gladsaxe Søborg 2","Sct. Jørgen Kbh. 1","13","13312","2021-04-25",
"2020","404714","Gladsaxe Søborg 4","Lyngby 4","11","13307","2021-04-25",
"2020","403996","Gladsaxe Søborg 1","Hvidovre 1","13","13311","2021-04-25",
"2020","404710","Gladsaxe Søborg 2","Charlottenlund 2","11","13305","2021-04-25",
"2020","403986","Gladsaxe Søborg 1","BK36 Kbh. 1","17","13302","2021-04-25",
