season,leagueGroupId,league,name,matches,oldest,newest
2025,17880,"Badmintonligaen\t Grundspil","Greve",9,2025-09-02,2026-02-20
2025,18801,"Badmintonligaen (oversidder-runder) Oversidder-runder/papirhold","Greve",1,2026-04-18,2026-04-18
2025,17893,"2. division Pulje 2","Greve 2",7,2025-09-06,2026-01-10
2025,17894,"2. division Kvalifikation til 1. division","Greve 2",4,2026-01-31,2026-03-21
2025,18803,"2. division (oversidder-runder) Oversidder-runder/papirhold","Greve 2",1,2026-04-18,2026-04-18
2025,17906,"3. division Pulje 1","Greve 3",7,2025-09-06,2026-01-10
2025,17910,"3. division Kvalifikation til 2.division pulje A","Greve 3",4,2026-01-31,2026-03-21
2025,18804,"3. division (oversidder-runde) Oversidder-runder/papirhold","Greve 3",1,2026-04-18,2026-04-18
2025,17909,"3. division Pulje 4","Greve 4",7,2025-09-06,2026-01-10
2025,17913,"3. division Nedrykning fra 3. division pulje B","Greve 4",4,2026-01-31,2026-03-21
2025,17915,"3. division Kvalkampe: Nedrykning til DS","Greve 4",1,2026-04-18,2026-04-18
2025,17934,"Sjællandsserien Pulje 1","Greve 5",6,2025-09-06,2026-01-10
2025,18479,"Sjællandsserien slutspil - nedrykning Pulje 1","Greve 5",4,2026-01-31,2026-03-21
2025,17942,"Serie 1 Pulje 1","Greve 6",7,2025-09-06,2026-01-10
2025,18481,"Serie 1 slutspil - nedrykning Pulje 1","Greve 6",4,2026-01-31,2026-03-21
2025,17945,"Serie 2 Pulje 1","Greve 7",7,2025-09-06,2026-01-10
2025,18483,"Serie 2 slutspil - nedrykning Pulje 1","Greve 7",4,2026-01-31,2026-03-21
2024,16861,"1. division Pulje 2","Greve",7,2024-09-07,2025-01-11
2024,16862,"1. division Kvalifikation til Badmintonligaen","Greve",4,2025-02-01,2025-03-22
2024,17595,"1. division (oversidder-runder)\t Oversidder-runder/papirhold","Greve",1,2025-04-05,2025-04-05
2024,16927,"Serie 3 Pulje 2","Greve",0,,
2024,16864,"1. division Kvalifikationskampe til 1. division","Greve 2",1,2025-04-05,2025-04-05
2024,16867,"2. division Kvalifikation til 1. division","Greve 2",4,2025-02-01,2025-03-22
2024,16866,"2. division Pulje 2","Greve 2",7,2024-09-07,2025-01-11
