"season","opponent","error","count"
"2010","Charlottenlund 1","Internal server error","1"
"2010","Herlev/Hjorten 2","Internal server error","1"
"2010","Karlslunde 1","Internal server error","1"
"2010","KBK Kbh. 3","Internal server error","1"
"2010","Rødovre 1","Internal server error","1"
"2010","SAIF Kbh. 1","Internal server error","1"
"2010","Skibby 2","Internal server error","1"
"2010","Solrød Strand 4","Internal server error","1"
"2010","Taastrup Elite 1","Internal server error","1"
"2010","Team Roskilde 2","Internal server error","1"
"2010","Vordingborg 1","Internal server error","1"
"2011","Amager ABC","Could not find any players on match","4"
"2011","Amager ABC 2","Could not find any players on match","2"
"2011","Amager ABC 3","Could not find any players on match","1"
"2011","BC KVIK Kbh.","Could not find any players on match","1"
"2011","BC37 Amager","Could not find any players on match","2"
"2011","BC37 Amager 3","Could not find any players on match","1"
"2011","BK36 Kbh.","Could not find any players on match","5"
"2011","BKPOINT Kbh.","Could not find any players on match","2"
"2011","Charlottenlund","Could not find any players on match","4"
"2011","Charlottenlund 2","Could not find any players on match","3"
"2011","Charlottenlund 3","Could not find any players on match","4"
"2011","Dragør","Could not find any players on match","3"
"2011","Dragør 2","Could not find any players on match","3"
"2011","Dragør 3","Could not find any players on match","1"
"2011","Drive","Could not find any players on match","6"
"2011","Drive 2","Could not find any players on match","3"
"2011","Drive 3","Could not find any players on match","1"
"2011","Drive 4","Could not find any players on match","1"
"2011","FKIF Frederiksberg","Could not find any players on match","5"
"2011","FKIF Frederiksberg 2","Could not find any players on match","2"
"2011","FKIF Frederiksberg 3","Could not find any players on match","2"
"2011","FKIF Frederiksberg 4","Could not find any players on match","1"
"2011","Frederiksberg","Could not find any players on match","5"
"2011","Frederiksberg 2","Could not find any players on match","2"
"2011","Frederiksberg 3","Could not find any players on match","1"
"2011","Frederiksberg 4","Could not find any players on match","1"
"2011","Gentofte","Could not find any players on match","2"
"2011","Gentofte 3","Could not find any players on match","1"
"2011","Gentofte 4","Could not find any players on match","1"
"2011","Gentofte 5","Could not find any players on match","1"
"2011","Hvidovre","Could not find any players on match","2"
"2011","Hvidovre 2","Could not find any players on match","1"
"2011","Hvidovre HB2000","Could not find any players on match","5"
"2011","Hvidovre HB2000 2","Could not find any players on match","4"
"2011","Hvidovre HB2000 3","Could not find any players on match","1"
"2011","Hvidovre HB2000 4","Could not find any players on match","1"
"2011","Kalundborg","Internal server error","1"
"2011","KBK Kbh.","Could not find any players on match","1"
"2011","KBK Kbh. 2","Could not find any players on match","4"
"2011","KBK Kbh. 3","Could not find any players on match","4"
"2011","KBK Kbh. 4","Could not find any players on match","2"
"2011","KBK Kbh. 5","Could not find any players on match","1"
"2011","KFUM Badminton Kbh.","Could not find any players on match","3"
"2011","KFUM Badminton Kbh. 2","Could not find any players on match","2"
"2011","KMB2010","Could not find any players on match","2"
"2011","KMB2010 2","Could not find any players on match","2"
"2011","KMB2010 3","Could not find any players on match","1"
"2011","KSI Badmintonklub Kbh. 2","Could not find any players on match","1"
"2011","Lyngby","Could not find any players on match","2"
"2011","Lyngby 2","Could not find any players on match","3"
"2011","Lyngby 3","Could not find any players on match","2"
"2011","Lyngby 4","Could not find any players on match","1"
"2011","Lyngby 5","Could not find any players on match","1"
"2011","NBK Amager","Could not find any players on match","5"
"2011","ØBK/BK Kbh.","Could not find any players on match","1"
"2011","Pan Kbh. 2","Could not find any players on match","1"
"2011","Posten Kbh.","Could not find any players on match","2"
"2011","Rødovre","Could not find any players on match","2"
"2011","Rødovre 2","Could not find any players on match","2"
"2011","Rødovre 3","Could not find any players on match","1"
"2011","Skovshoved","Could not find any players on match","1"
"2011","Skovshoved 2","Could not find any players on match","3"
"2011","Skovshoved 3","Could not find any players on match","1"
