"season","error","count"
"2010","Internal server error","11"
"2011","Could not find any players on match","158"
"2011","Internal server error","1"
"2012","Could not find any players on match","11"
"2012","Internal server error","41"
"2013","Could not find any players on match","3"
"2013","Internal server error","40"
"2014","Could not find any players on match","21"
"2014","Internal server error","32"
"2015","Could not find any players on match","23"
"2015","Internal server error","25"
"2016","Could not find any players on match","19"
"2016","Internal server error","35"
"2017","Could not find any players on match","6"
"2017","Internal server error","39"
"2018","Could not find any players on match","3"
"2018","Internal server error","36"
"2019","Could not find any players on match","19"
"2019","Internal server error","24"
"2020","Could not find any players on match","86"
"2020","Internal server error","45"
"2021","Could not find any players on match","4"
"2021","Internal server error","96"
"2022","Could not find any players on match","1"
"2022","Internal server error","131"
"2023","Could not find any players on match","3"
"2023","Internal server error","124"
"2024","Could not find any players on match","1"
"2024","Internal server error","164"
"2025","Could not find any players on match","1"
"2025","Internal server error","241"
